id,home_ownership,annual_inc,loan_amnt,term,grade,loan_status
92402,MORTGAGE,75000,5000, 36 months,B,Fully Paid
92440,MORTGAGE,95000,5000, 36 months,A,Fully Paid
92507,OWN,85000,5000, 36 months,A,Fully Paid
92533,OWN,80000,5000, 36 months,C,Fully Paid
92552,MORTGAGE,48000,5000, 36 months,B,Fully Paid
92666,MORTGAGE,180000,5000, 36 months,B,Fully Paid
92676,MORTGAGE,180000,5000, 36 months,A,Fully Paid
93061,MORTGAGE,120000,5000, 36 months,A,Fully Paid
93277,MORTGAGE,25000,3000, 36 months,B,Fully Paid
94838,MORTGAGE,200000,3000, 36 months,C,Fully Paid
96350,OWN,30000,5000, 36 months,C,Fully Paid
96844,MORTGAGE,74000,5300, 36 months,A,Fully Paid
98276,RENT,8000,5400, 36 months,A,Fully Paid
98339,RENT,32000,5100, 36 months,A,Fully Paid
98982,RENT,73000,5000, 36 months,B,Fully Paid
99009,MORTGAGE,125000,5750, 36 months,A,Fully Paid
100214,OWN,45000,5000, 36 months,A,Fully Paid
101579,RENT,27376,10000, 36 months,C,Fully Paid
102376,RENT,48000,25000, 36 months,C,Fully Paid
106079,RENT,13500,3500, 36 months,B,Fully Paid
106360,RENT,52200,2700, 36 months,F,Fully Paid
107136,RENT,60000,12250, 36 months,C,Fully Paid
109355,RENT,20000,1200, 36 months,C,Fully Paid
111227,MORTGAGE,145000,20000, 36 months,E,Charged Off
111307,OWN,75000,12000, 36 months,D,Fully Paid
111917,RENT,60000,6400, 36 months,B,Fully Paid
112216,RENT,65000,12000, 36 months,D,Fully Paid
112245,RENT,40000,5000, 36 months,A,Fully Paid
112323,RENT,20000,3500, 36 months,C,Fully Paid
112496,MORTGAGE,36153,3000, 36 months,D,Fully Paid
113156,RENT,98000,3500, 36 months,A,Fully Paid
113179,MORTGAGE,33990,1000, 36 months,C,Charged Off
113194,RENT,78000,3500, 36 months,B,Fully Paid
116040,MORTGAGE,130000,5000, 36 months,B,Fully Paid
116582,RENT,35000,10000, 36 months,E,Fully Paid
117056,MORTGAGE,225000,5000, 36 months,A,Fully Paid
117249,MORTGAGE,70000,5000, 36 months,A,Fully Paid
117794,MORTGAGE,150000,7500, 36 months,A,Fully Paid
117863,RENT,48000,8000, 36 months,B,Fully Paid
118523,MORTGAGE,213000,6500, 36 months,F,Charged Off
118533,MORTGAGE,75000,2500, 36 months,B,Charged Off
118823,MORTGAGE,32000,2500, 36 months,D,Charged Off
119043,MORTGAGE,40000,15450, 36 months,C,Charged Off
120215,RENT,40000,4000, 36 months,A,Fully Paid
120374,RENT,70000,2000, 36 months,B,Fully Paid
120525,RENT,18000,4000, 36 months,C,Fully Paid
121426,OWN,125000,3000, 36 months,A,Fully Paid
121530,OWN,50000,3000, 36 months,A,Fully Paid
121535,NONE,120000,2800, 36 months,B,Fully Paid
121568,NONE,100000,4000, 36 months,B,Fully Paid
121824,MORTGAGE,62000,3000, 36 months,B,Fully Paid
122070,MORTGAGE,35000,5400, 36 months,D,Fully Paid
122404,RENT,60000,12750, 36 months,F,Fully Paid
122637,OWN,61800,4000, 36 months,A,Fully Paid
122718,RENT,90000,18500, 36 months,F,Fully Paid
123228,RENT,96000,20000, 36 months,B,Charged Off
123230,OWN,15000,3175, 36 months,C,Charged Off
124436,RENT,30000,4800, 36 months,C,Fully Paid
125671,MORTGAGE,150000,12125, 36 months,B,Fully Paid
125897,MORTGAGE,88000,6625, 36 months,C,Fully Paid
126213,OWN,63000,9500, 36 months,A,Fully Paid
126215,RENT,45000,5000, 36 months,A,Fully Paid
126287,MORTGAGE,225000,10000, 36 months,C,Fully Paid
126392,MORTGAGE,173000,10000, 36 months,A,Fully Paid
126776,OWN,90000,9500, 36 months,A,Fully Paid
126788,MORTGAGE,93000,7500, 36 months,B,Fully Paid
127213,MORTGAGE,118000,2000, 36 months,A,Fully Paid
127353,RENT,45000,2850, 36 months,D,Fully Paid
127472,MORTGAGE,96000,2125, 36 months,F,Charged Off
127504,MORTGAGE,150000,10000, 36 months,A,Fully Paid
127531,RENT,75000,17000, 36 months,B,Fully Paid
127719,MORTGAGE,85000,10000, 36 months,A,Fully Paid
127830,MORTGAGE,70000,8000, 36 months,D,Charged Off
128635,OWN,45000,6500, 36 months,C,Fully Paid
128881,RENT,23000,7000, 36 months,D,Fully Paid
129745,RENT,120000,10000, 36 months,C,Fully Paid
130512,MORTGAGE,57000,7250, 36 months,C,Fully Paid
130735,RENT,72000,10250, 36 months,E,Fully Paid
130907,MORTGAGE,120000,3775, 36 months,A,Fully Paid
130986,RENT,110000,2100, 36 months,A,Fully Paid
131223,RENT,92000,20000, 36 months,F,Fully Paid
131387,RENT,19000,6000, 36 months,C,Fully Paid
131618,RENT,32400,9000, 36 months,C,Fully Paid
131649,RENT,50000,6625, 36 months,C,Fully Paid
131782,RENT,62200,7725, 36 months,E,Charged Off
132062,RENT,57000,7200, 36 months,E,Fully Paid
132172,MORTGAGE,87300,6000, 36 months,C,Fully Paid
132892,MORTGAGE,39000,9000, 36 months,D,Charged Off
132946,MORTGAGE,85000,5275, 36 months,A,Fully Paid
133301,MORTGAGE,45600,4650, 36 months,C,Charged Off
133685,RENT,57100,6625, 36 months,C,Fully Paid
134436,MORTGAGE,40000,2525, 36 months,D,Fully Paid
135201,MORTGAGE,30000,10000, 36 months,C,Fully Paid
135594,MORTGAGE,55000,5275, 36 months,A,Fully Paid
136226,RENT,36000,4300, 36 months,C,Fully Paid
136316,RENT,90000,3025, 36 months,C,Fully Paid
136491,RENT,10000,5000, 36 months,D,Charged Off
136634,MORTGAGE,85000,8500, 36 months,D,Fully Paid
137042,MORTGAGE,480000,25000, 36 months,E,Fully Paid
137106,OWN,31000,4275, 36 months,C,Fully Paid
137271,RENT,12500,2100, 36 months,D,Charged Off
137965,RENT,105000,8000, 36 months,A,Fully Paid
138557,MORTGAGE,120000,8275, 36 months,B,Fully Paid
138568,MORTGAGE,62000,3275, 36 months,B,Fully Paid
139057,RENT,54000,5500, 36 months,A,Fully Paid
139657,OWN,32000,1200, 36 months,B,Fully Paid
139790,RENT,29120,3000, 36 months,D,Charged Off
139968,RENT,36400,10000, 36 months,D,Fully Paid
139980,MORTGAGE,39000,12000, 36 months,C,Charged Off
140036,RENT,35000,4000, 36 months,B,Charged Off
140452,OWN,18000,3000, 36 months,B,Fully Paid
140561,RENT,60000,2225, 36 months,C,Charged Off
140687,MORTGAGE,70000,2825, 36 months,B,Fully Paid
140900,MORTGAGE,49000,8275, 36 months,A,Fully Paid
141041,MORTGAGE,70000,5275, 36 months,B,Fully Paid
141676,RENT,45000,6225, 36 months,C,Fully Paid
141774,MORTGAGE,85000,20000, 36 months,D,Charged Off
142281,RENT,55400,7000, 36 months,C,Fully Paid
142608,RENT,15000,5000, 36 months,C,Fully Paid
142618,RENT,25000,4800, 36 months,C,Fully Paid
142734,MORTGAGE,57000,25000, 36 months,B,Fully Paid
142790,MORTGAGE,84000,4925, 36 months,B,Fully Paid
143102,RENT,38000,3000, 36 months,C,Fully Paid
143128,RENT,50000,8000, 36 months,C,Fully Paid
143566,MORTGAGE,46713,12375, 36 months,C,Fully Paid
144579,RENT,70000,9850, 36 months,A,Fully Paid
144635,MORTGAGE,75000,25000, 36 months,D,Charged Off
146564,MORTGAGE,109000,8275, 36 months,C,Charged Off
146641,RENT,52000,8000, 36 months,D,Fully Paid
146671,MORTGAGE,78000,25000, 36 months,B,Fully Paid
146844,RENT,120000,15450, 36 months,C,Charged Off
148473,MORTGAGE,275000,10000, 36 months,B,Charged Off
149575,RENT,30000,10000, 36 months,A,Fully Paid
149754,RENT,14400,4000, 36 months,C,Fully Paid
150940,MORTGAGE,63500,7000, 36 months,C,Fully Paid
151587,MORTGAGE,116000,19950, 36 months,B,Fully Paid
151607,RENT,25000,1500, 36 months,E,Fully Paid
151621,MORTGAGE,41000,18000, 36 months,B,Fully Paid
152291,RENT,21000,4800, 36 months,A,Fully Paid
152663,RENT,62000,3000, 36 months,B,Fully Paid
153022,MORTGAGE,93000,3000, 36 months,A,Fully Paid
153054,MORTGAGE,66000,5875, 36 months,C,Fully Paid
153235,RENT,27000,18000, 36 months,C,Fully Paid
153434,RENT,35000,12000, 36 months,C,Fully Paid
154141,MORTGAGE,52000,5000, 36 months,A,Fully Paid
154154,RENT,35000,4800, 36 months,C,Fully Paid
154286,RENT,88000,15000, 36 months,C,Fully Paid
154305,RENT,30000,3600, 36 months,C,Fully Paid
154776,RENT,51000,6800, 36 months,C,Charged Off
155780,RENT,20000,4800, 36 months,A,Fully Paid
156021,RENT,95000,6400, 36 months,C,Fully Paid
156417,MORTGAGE,68686,6000, 36 months,A,Fully Paid
156868,RENT,60000,24750, 36 months,B,Fully Paid
157169,MORTGAGE,616000,25000, 36 months,B,Charged Off
157768,RENT,44000,4000, 36 months,B,Fully Paid
158289,RENT,80000,9000, 36 months,C,Fully Paid
158706,RENT,80000,12375, 36 months,C,Fully Paid
159468,MORTGAGE,150000,12000, 36 months,D,Fully Paid
159665,RENT,95000,5750, 36 months,A,Fully Paid
159713,RENT,12000,900, 36 months,C,Charged Off
161187,MORTGAGE,92000,12950, 36 months,B,Fully Paid
163627,RENT,62000,4000, 36 months,C,Fully Paid
163758,MORTGAGE,32904,3000, 36 months,C,Fully Paid
164346,RENT,18000,500, 36 months,A,Fully Paid
164741,RENT,200000,16000, 36 months,C,Fully Paid
164792,RENT,153000,17600, 36 months,B,Fully Paid
166437,RENT,42500,9600, 36 months,C,Fully Paid
166534,RENT,44400,16000, 36 months,C,Charged Off
166546,RENT,72000,3000, 36 months,A,Fully Paid
166683,OWN,48000,6500, 36 months,A,Fully Paid
166747,OWN,40000,5000, 36 months,D,Charged Off
167189,RENT,44000,4900, 36 months,C,Charged Off
167205,RENT,50000,15000, 36 months,C,Fully Paid
167584,RENT,72500,10000, 36 months,B,Charged Off
167645,RENT,24000,10000, 36 months,B,Fully Paid
167846,RENT,33600,11300, 36 months,D,Fully Paid
168100,MORTGAGE,110244,18000, 36 months,D,Fully Paid
168190,RENT,27000,3975, 36 months,D,Charged Off
168222,RENT,52000,25000, 36 months,D,Fully Paid
169044,MORTGAGE,52000,18500, 36 months,C,Fully Paid
169254,MORTGAGE,55900,17000, 36 months,B,Fully Paid
169354,OWN,42000,5400, 36 months,B,Fully Paid
169453,RENT,36000,18500, 36 months,C,Fully Paid
169525,RENT,38000,9000, 36 months,B,Fully Paid
169793,OWN,86400,16000, 36 months,D,Charged Off
170488,MORTGAGE,24000,5000, 36 months,B,Fully Paid
170528,MORTGAGE,30000,12000, 36 months,C,Fully Paid
170929,MORTGAGE,52000,9000, 36 months,D,Fully Paid
171220,MORTGAGE,96000,20000, 36 months,C,Charged Off
171298,RENT,43000,7000, 36 months,A,Fully Paid
172644,MORTGAGE,97000,12000, 36 months,C,Fully Paid
172802,RENT,48000,5000, 36 months,B,Fully Paid
173029,RENT,60000,9600, 36 months,D,Charged Off
173981,RENT,75000,3200, 36 months,C,Fully Paid
174377,MORTGAGE,60000,4800, 36 months,B,Fully Paid
175056,MORTGAGE,108000,20000, 36 months,C,Fully Paid
175147,RENT,47000,2400, 36 months,E,Fully Paid
175193,RENT,19440,7500, 36 months,B,Fully Paid
175582,RENT,58800,10000, 36 months,D,Fully Paid
176062,MORTGAGE,45000,2800, 36 months,D,Charged Off
176206,RENT,36600,3000, 36 months,B,Fully Paid
176610,RENT,25000,2975, 36 months,B,Fully Paid
176942,RENT,62000,16500, 36 months,D,Fully Paid
176995,MORTGAGE,80000,25000, 36 months,E,Charged Off
177075,RENT,77000,15000, 36 months,A,Fully Paid
177259,RENT,75000,17950, 36 months,C,Fully Paid
177913,MORTGAGE,19500,15000, 36 months,B,Fully Paid
178157,RENT,36120,14400, 36 months,D,Charged Off
178236,RENT,24000,12000, 36 months,D,Fully Paid
178239,RENT,50400,7000, 36 months,D,Fully Paid
178977,MORTGAGE,75000,25000, 36 months,B,Charged Off
179020,RENT,70522,9325, 36 months,C,Fully Paid
179897,MORTGAGE,78862,25000, 36 months,D,Fully Paid
180005,RENT,24000,4000, 36 months,A,Fully Paid
180535,MORTGAGE,48000,3500, 36 months,C,Fully Paid
180614,MORTGAGE,120000,24625, 36 months,E,Fully Paid
180675,MORTGAGE,73000,25000, 36 months,C,Charged Off
180712,MORTGAGE,34992,22550, 36 months,F,Fully Paid
181036,RENT,60000,18000, 36 months,B,Fully Paid
181590,RENT,105000,12000, 36 months,D,Fully Paid
181701,RENT,25480,5000, 36 months,D,Fully Paid
182089,MORTGAGE,54099,21000, 36 months,B,Fully Paid
182554,RENT,50952,4000, 36 months,C,Fully Paid
182589,OWN,25000,8800, 36 months,B,Fully Paid
182845,RENT,48000,25000, 36 months,B,Fully Paid
183801,RENT,111000,15450, 36 months,C,Fully Paid
183936,RENT,41300,5800, 36 months,A,Fully Paid
184296,RENT,100000,25000, 36 months,B,Charged Off
184562,MORTGAGE,36500,10000, 36 months,B,Charged Off
184908,RENT,5000,1000, 36 months,B,Fully Paid
185352,RENT,18000,6000, 36 months,B,Fully Paid
185684,OWN,135000,22350, 36 months,E,Charged Off
186499,MORTGAGE,120000,1000, 36 months,A,Fully Paid
186572,MORTGAGE,100671,12000, 36 months,B,Fully Paid
186652,RENT,60000,9000, 36 months,D,Charged Off
186840,RENT,83000,20000, 36 months,E,Fully Paid
187464,RENT,67000,10000, 36 months,B,Fully Paid
187671,RENT,87000,25000, 36 months,E,Charged Off
188937,RENT,54000,8000, 36 months,A,Fully Paid
189379,RENT,29376,2800, 36 months,A,Fully Paid
190811,RENT,24000,2000, 36 months,A,Charged Off
190846,RENT,75000,25000, 36 months,E,Charged Off
191006,RENT,39975,7500, 36 months,C,Fully Paid
191730,RENT,42500,20000, 36 months,E,Fully Paid
192239,RENT,38556,20000, 36 months,C,Fully Paid
192299,RENT,97188,16000, 36 months,D,Fully Paid
192311,RENT,24960,10000, 36 months,B,Fully Paid
192616,MORTGAGE,100000,12000, 36 months,B,Fully Paid
193452,RENT,107000,10000, 36 months,A,Fully Paid
193586,RENT,25920,9000, 36 months,C,Fully Paid
193630,RENT,21600,4000, 36 months,A,Fully Paid
194565,RENT,68640,12000, 36 months,B,Fully Paid
194762,RENT,36000,15450, 36 months,E,Fully Paid
195618,MORTGAGE,120000,6000, 36 months,D,Fully Paid
195655,OWN,102000,18000, 36 months,B,Fully Paid
196027,RENT,10000,3000, 36 months,B,Fully Paid
196148,RENT,71000,15000, 36 months,B,Fully Paid
196380,RENT,62000,11000, 36 months,A,Fully Paid
196428,RENT,19800,4725, 36 months,C,Charged Off
196521,RENT,73992,20000, 36 months,B,Fully Paid
196559,MORTGAGE,60600,3000, 36 months,A,Fully Paid
196574,RENT,58000,9500, 36 months,B,Fully Paid
196863,RENT,22000,4350, 36 months,C,Fully Paid
196910,MORTGAGE,112000,9000, 36 months,B,Charged Off
197019,MORTGAGE,112000,2750, 36 months,B,Charged Off
197225,RENT,120000,12000, 36 months,B,Fully Paid
197360,RENT,49500,6000, 36 months,C,Fully Paid
197558,RENT,40000,2675, 36 months,A,Fully Paid
197959,OWN,40000,15000, 36 months,B,Fully Paid
198285,RENT,26000,7850, 36 months,B,Fully Paid
198952,MORTGAGE,522000,2500, 36 months,A,Fully Paid
199055,OWN,120000,3000, 36 months,B,Fully Paid
199486,RENT,120000,8000, 36 months,B,Charged Off
199575,MORTGAGE,62500,4000, 36 months,A,Fully Paid
199889,RENT,18000,2000, 36 months,D,Fully Paid
200256,RENT,27000,12000, 36 months,D,Charged Off
200600,RENT,96000,7500, 36 months,B,Fully Paid
200805,RENT,38000,5000, 36 months,E,Charged Off
200886,RENT,12000,9325, 36 months,A,Fully Paid
200912,MORTGAGE,50000,9400, 36 months,D,Fully Paid
201285,MORTGAGE,24000,2000, 36 months,B,Fully Paid
201479,MORTGAGE,60000,7000, 36 months,A,Fully Paid
201909,RENT,133000,20000, 36 months,D,Fully Paid
202270,RENT,50000,4000, 36 months,D,Charged Off
202379,MORTGAGE,40000,13025, 36 months,B,Fully Paid
202406,RENT,49500,10000, 36 months,D,Fully Paid
202712,RENT,60000,11200, 36 months,C,Fully Paid
202720,RENT,24600,10000, 36 months,A,Fully Paid
203367,MORTGAGE,120000,25000, 36 months,F,Fully Paid
203424,RENT,30000,9325, 36 months,D,Fully Paid
203532,MORTGAGE,48000,21000, 36 months,D,Charged Off
203554,MORTGAGE,88296,15000, 36 months,B,Fully Paid
204428,RENT,39996,4000, 36 months,D,Fully Paid
204576,MORTGAGE,107000,11500, 36 months,A,Fully Paid
206181,RENT,28800,3500, 36 months,A,Fully Paid
206360,RENT,17280,7200, 36 months,D,Fully Paid
206839,MORTGAGE,67992,2000, 36 months,A,Fully Paid
207148,OWN,19800,2100, 36 months,A,Fully Paid
207387,RENT,41500,10000, 36 months,C,Fully Paid
207910,MORTGAGE,120000,2225, 36 months,A,Charged Off
208191,MORTGAGE,61200,9600, 36 months,C,Charged Off
208594,RENT,78504,10000, 36 months,C,Fully Paid
208728,RENT,45600,8775, 36 months,D,Fully Paid
208827,RENT,69600,10000, 36 months,A,Fully Paid
209349,MORTGAGE,61200,7200, 36 months,A,Charged Off
209392,RENT,35064,2000, 36 months,A,Fully Paid
209581,RENT,91200,16000, 36 months,D,Charged Off
210194,MORTGAGE,63000,3800, 36 months,C,Fully Paid
210287,MORTGAGE,110000,6000, 36 months,B,Fully Paid
210778,RENT,48000,3000, 36 months,B,Fully Paid
210784,RENT,77250,10000, 36 months,B,Fully Paid
210884,RENT,36500,7000, 36 months,C,Fully Paid
211126,RENT,39270,2200, 36 months,C,Fully Paid
211133,RENT,19500,500, 36 months,C,Fully Paid
211586,RENT,57600,4000, 36 months,A,Fully Paid
211723,OWN,72000,8000, 36 months,C,Charged Off
211860,OWN,75000,7500, 36 months,A,Fully Paid
212737,RENT,44685,8000, 36 months,C,Fully Paid
212894,OWN,36000,3250, 36 months,A,Charged Off
213020,RENT,49896,7000, 36 months,A,Fully Paid
213427,RENT,30000,1200, 36 months,B,Fully Paid
213551,RENT,72000,7500, 36 months,C,Fully Paid
213732,RENT,48000,20000, 36 months,D,Charged Off
213846,MORTGAGE,38000,2450, 36 months,C,Fully Paid
214363,RENT,47000,15000, 36 months,C,Fully Paid
214388,RENT,76000,20000, 36 months,E,Charged Off
214572,MORTGAGE,65000,25000, 36 months,B,Fully Paid
214968,RENT,21600,9000, 36 months,B,Fully Paid
215142,MORTGAGE,38100,8400, 36 months,A,Fully Paid
215531,RENT,48000,3500, 36 months,D,Fully Paid
215577,RENT,36000,9000, 36 months,C,Fully Paid
215865,RENT,60000,16800, 36 months,D,Fully Paid
215897,RENT,165000,10000, 36 months,B,Fully Paid
216013,RENT,32496,7200, 36 months,B,Fully Paid
216083,MORTGAGE,75000,21000, 36 months,E,Fully Paid
216181,MORTGAGE,115500,10000, 36 months,A,Fully Paid
216508,MORTGAGE,60000,8000, 36 months,A,Fully Paid
216540,RENT,48000,15000, 36 months,E,Fully Paid
216698,MORTGAGE,26000,500, 36 months,B,Fully Paid
216940,RENT,45000,11200, 36 months,C,Fully Paid
217041,RENT,55000,10000, 36 months,B,Fully Paid
217100,RENT,84000,24625, 36 months,G,Fully Paid
217118,RENT,36000,12500, 36 months,C,Fully Paid
217723,RENT,84000,15000, 36 months,B,Fully Paid
217788,RENT,62000,9300, 36 months,C,Fully Paid
217987,OWN,32000,4000, 36 months,C,Fully Paid
218282,MORTGAGE,52500,11000, 36 months,D,Charged Off
218325,RENT,43000,16000, 36 months,D,Fully Paid
218331,RENT,24000,10000, 36 months,A,Charged Off
218343,MORTGAGE,11029,2150, 36 months,C,Charged Off
218680,RENT,37200,13500, 36 months,C,Fully Paid
219000,RENT,37000,5500, 36 months,B,Fully Paid
219070,RENT,50000,6000, 36 months,B,Fully Paid
219178,MORTGAGE,60000,5000, 36 months,C,Fully Paid
219315,MORTGAGE,45000,12000, 36 months,D,Charged Off
219425,RENT,62000,2500, 36 months,C,Charged Off
219967,MORTGAGE,40500,6000, 36 months,A,Fully Paid
220023,RENT,35000,1850, 36 months,A,Fully Paid
220873,OWN,120000,10000, 36 months,D,Charged Off
221264,MORTGAGE,100000,15000, 36 months,C,Fully Paid
221301,MORTGAGE,90000,22000, 36 months,D,Fully Paid
222179,MORTGAGE,62000,9600, 36 months,B,Charged Off
222488,MORTGAGE,31000,18500, 36 months,B,Fully Paid
222492,MORTGAGE,44000,18900, 36 months,B,Fully Paid
222829,RENT,88068,14400, 36 months,B,Fully Paid
223015,RENT,75000,24000, 36 months,F,Fully Paid
223308,MORTGAGE,85000,7500, 36 months,C,Fully Paid
223345,MORTGAGE,75000,14000, 36 months,B,Charged Off
223626,RENT,115500,20000, 36 months,B,Fully Paid
223992,MORTGAGE,175000,7200, 36 months,A,Fully Paid
224210,RENT,100000,15000, 36 months,C,Fully Paid
224381,MORTGAGE,113000,25000, 36 months,F,Charged Off
224541,MORTGAGE,57860,20000, 36 months,C,Fully Paid
224614,RENT,200000,15000, 36 months,C,Fully Paid
224894,RENT,50000,8000, 36 months,B,Fully Paid
224984,RENT,46000,4800, 36 months,C,Fully Paid
225054,MORTGAGE,85000,9000, 36 months,D,Fully Paid
225812,MORTGAGE,375000,20000, 36 months,C,Fully Paid
225897,RENT,36000,4000, 36 months,B,Fully Paid
226154,MORTGAGE,72000,5000, 36 months,E,Fully Paid
226735,RENT,35244,3000, 36 months,D,Charged Off
226780,MORTGAGE,80000,11200, 36 months,C,Charged Off
227383,RENT,24000,10800, 36 months,A,Fully Paid
227538,RENT,40000,12000, 36 months,B,Fully Paid
227568,MORTGAGE,65000,12800, 36 months,A,Fully Paid
227773,MORTGAGE,60000,9800, 36 months,A,Fully Paid
228424,MORTGAGE,50000,20000, 36 months,D,Fully Paid
228892,RENT,95000,23000, 36 months,D,Charged Off
228923,RENT,32000,15000, 36 months,C,Charged Off
229276,MORTGAGE,66000,15000, 36 months,C,Fully Paid
229565,RENT,69500,7000, 36 months,C,Fully Paid
229930,MORTGAGE,90000,25000, 36 months,C,Fully Paid
230185,MORTGAGE,78000,8000, 36 months,C,Fully Paid
230545,MORTGAGE,107000,2500, 36 months,C,Fully Paid
231005,RENT,110000,8525, 36 months,C,Charged Off
231321,NONE,22200,10000, 36 months,A,Fully Paid
231540,RENT,73000,1800, 36 months,C,Fully Paid
231935,RENT,20000,12000, 36 months,A,Fully Paid
232302,MORTGAGE,72000,25000, 36 months,B,Fully Paid
232488,MORTGAGE,186063,25000, 36 months,B,Fully Paid
232568,MORTGAGE,50000,4000, 36 months,C,Fully Paid
232726,RENT,40000,10000, 36 months,C,Fully Paid
232917,MORTGAGE,55200,3000, 36 months,C,Fully Paid
232947,MORTGAGE,30000,11225, 36 months,D,Fully Paid
233852,OWN,74600,9500, 36 months,C,Fully Paid
233978,OWN,31000,2500, 36 months,A,Fully Paid
234451,MORTGAGE,69000,19000, 36 months,B,Fully Paid
234585,MORTGAGE,78000,12000, 36 months,B,Fully Paid
234707,MORTGAGE,237000,21000, 36 months,B,Fully Paid
235094,MORTGAGE,55000,15000, 36 months,B,Fully Paid
235269,RENT,64000,18000, 36 months,A,Charged Off
235704,MORTGAGE,65000,10000, 36 months,E,Fully Paid
236199,RENT,48000,20000, 36 months,E,Fully Paid
237246,RENT,35000,8000, 36 months,B,Fully Paid
237452,MORTGAGE,202000,15000, 36 months,C,Fully Paid
237549,MORTGAGE,65000,4000, 36 months,A,Fully Paid
237776,MORTGAGE,33000,7000, 36 months,A,Fully Paid
237880,RENT,64000,7500, 36 months,B,Fully Paid
237883,MORTGAGE,49853,12000, 36 months,D,Fully Paid
238327,MORTGAGE,62500,15000, 36 months,C,Fully Paid
238360,RENT,25000,12000, 36 months,B,Fully Paid
238587,MORTGAGE,36000,8000, 36 months,B,Fully Paid
238612,RENT,30000,2000, 36 months,A,Fully Paid
238935,MORTGAGE,88000,7000, 36 months,B,Fully Paid
238983,RENT,51600,10000, 36 months,B,Fully Paid
238989,RENT,45000,10000, 36 months,B,Fully Paid
239690,MORTGAGE,42000,15450, 36 months,E,Charged Off
239761,MORTGAGE,57400,10500, 36 months,A,Fully Paid
239843,OWN,80000,20000, 36 months,B,Charged Off
240105,RENT,35427,5950, 36 months,C,Fully Paid
240220,RENT,47000,1300, 36 months,B,Fully Paid
240361,RENT,48000,4225, 36 months,B,Fully Paid
240974,OWN,74000,5450, 36 months,D,Fully Paid
241117,RENT,38000,6000, 36 months,B,Fully Paid
241502,RENT,25000,3000, 36 months,A,Fully Paid
241536,RENT,35000,13450, 36 months,D,Fully Paid
241659,RENT,54000,12100, 36 months,B,Fully Paid
241850,MORTGAGE,17544,1500, 36 months,A,Fully Paid
242092,MORTGAGE,50000,6400, 36 months,A,Fully Paid
242229,RENT,82000,12000, 36 months,D,Fully Paid
242260,MORTGAGE,90096,10150, 36 months,C,Fully Paid
242333,OWN,60000,10425, 36 months,B,Charged Off
242356,RENT,79636,19200, 36 months,D,Fully Paid
242452,RENT,18000,3200, 36 months,A,Fully Paid
242642,MORTGAGE,20000,16600, 36 months,B,Fully Paid
242695,MORTGAGE,7904,500, 36 months,B,Fully Paid
242839,MORTGAGE,37000,25000, 36 months,B,Fully Paid
243046,RENT,70000,10325, 36 months,D,Charged Off
243078,RENT,43000,6000, 36 months,B,Fully Paid
243130,OWN,48000,6000, 36 months,A,Fully Paid
243207,RENT,69000,7400, 36 months,B,Fully Paid
243243,RENT,42000,4600, 36 months,B,Fully Paid
243280,RENT,39000,6000, 36 months,A,Fully Paid
